census_key,FIPS,Tract,Block,Tract_block
33.815_-84.353,131210092002005.00,'009200','2005','009200':'2005'
33.841_-84.353,131210094041000.00,'009404','1000','009404':'1000'
33.773_-84.353,131210015001002.00,'001500','1002','001500':'1002'
33.736999999999995_-84.353,131210052003032.00,'005200','3032','005200':'3032'
33.753_-84.353,131210031002015.00,'003100','2015','003100':'2015'
33.751_-84.353,131210031001003.00,'003100','1003','003100':'1003'
33.803000000000004_-84.353,131210001003023.00,'000100','3023','000100':'3023'
33.828_-84.354,131210094041006.00,'009404','1006','009404':'1006'
33.765_-84.354,131210016001025.00,'001600','1025','001600':'1025'
33.748000000000005_-84.354,131210031001021.00,'003100','1021','003100':'1021'
33.83_-84.354,131210094041006.00,'009404','1006','009404':'1006'
33.794000000000004_-84.354,131210001004010.00,'000100','4010','000100':'4010'
33.766_-84.354,131210016001016.00,'001600','1016','001600':'1016'
33.848_-84.354,131210096022008.00,'009602','2008','009602':'2008'
33.743_-84.354,131210052003009.00,'005200','3009','005200':'3009'
33.773_-84.354,131210015001003.00,'001500','1003','001500':'1003'
33.849000000000004_-84.354,131210096022008.00,'009602','2008','009602':'2008'
33.782_-84.354,131210015002001.00,'001500','2001','001500':'2001'
33.659_-84.354,131210072001026.00,'007200','1026','007200':'1026'
33.749_-84.354,131210031001021.00,'003100','1021','003100':'1021'
33.857_-84.354,131210100023008.00,'010002','3008','010002':'3008'
33.773_-84.355,131210015001003.00,'001500','1003','001500':'1003'
33.829_-84.355,131210094031004.00,'009403','1004','009403':'1004'
33.854_-84.355,131210096022000.00,'009602','2000','009602':'2000'
33.696999999999996_-84.355,131210071002015.00,'007100','2015','007100':'2015'
33.756_-84.355,131210030002026.00,'003000','2026','003000':'2026'
33.687_-84.355,131210070022003.00,'007002','2003','007002':'2003'
33.787_-84.355,131210001001012.00,'000100','1012','000100':'1012'
33.66_-84.355,131210072001026.00,'007200','1026','007200':'1026'
33.845_-84.355,131210094042009.00,'009404','2009','009404':'2009'
33.742_-84.355,131210052003012.00,'005200','3012','005200':'3012'
33.709_-84.355,131210069001012.00,'006900','1012','006900':'1012'
33.76_-84.355,131210030002012.00,'003000','2012','003000':'2012'
33.811_-84.35600000000001,131210092002009.00,'009200','2009','009200':'2009'
33.69_-84.35600000000001,131210071001016.00,'007100','1016','007100':'1016'
33.732_-84.35600000000001,131210052001010.00,'005200','1010','005200':'1010'
33.846_-84.35600000000001,131210094042006.00,'009404','2006','009404':'2006'
33.813_-84.35600000000001,131210092003004.00,'009200','3004','009200':'3004'
33.827_-84.35600000000001,131210094032000.00,'009403','2000','009403':'2000'
33.659_-84.35600000000001,131210072001018.00,'007200','1018','007200':'1018'
33.803000000000004_-84.35600000000001,131210001003013.00,'000100','3013','000100':'3013'
33.705_-84.35600000000001,131210068021004.00,'006802','1004','006802':'1004'
33.773_-84.35600000000001,131210015001003.00,'001500','1003','001500':'1003'
33.71_-84.35600000000001,131210069001012.00,'006900','1012','006900':'1012'
33.79_-84.35600000000001,131210002002009.00,'000200','2009','000200':'2009'
33.74_-84.35600000000001,131210052003012.00,'005200','3012','005200':'3012'
33.782_-84.35600000000001,131210015002004.00,'001500','2004','001500':'2004'
33.774_-84.35600000000001,131210015004005.00,'001500','4005','001500':'4005'
33.705999999999996_-84.35600000000001,131210071002000.00,'007100','2000','007100':'2000'
33.708_-84.35600000000001,131210071002003.00,'007100','2003','007100':'2003'
33.65_-84.35700000000001,131210072001026.00,'007200','1026','007200':'1026'
33.848_-84.35700000000001,131210096022007.00,'009602','2007','009602':'2007'
33.824_-84.35700000000001,131210094022004.00,'009402','2004','009402':'2004'
33.773_-84.35700000000001,131210015001003.00,'001500','1003','001500':'1003'
33.732_-84.35700000000001,131210052001012.00,'005200','1012','005200':'1012'
33.762_-84.35700000000001,131210030002006.00,'003000','2006','003000':'2006'
33.763000000000005_-84.35700000000001,131210030002004.00,'003000','2004','003000':'2004'
33.74_-84.35700000000001,131210052003013.00,'005200','3013','005200':'3013'
33.853_-84.35700000000001,131210096022000.00,'009602','2000','009602':'2000'
33.648_-84.35700000000001,131210072001025.00,'007200','1025','007200':'1025'
33.764_-84.35700000000001,131210016001019.00,'001600','1019','001600':'1019'
33.755_-84.35700000000001,131210030002025.00,'003000','2025','003000':'2025'
33.687_-84.35700000000001,131210070022002.00,'007002','2002','007002':'2002'
33.849000000000004_-84.35700000000001,131210096022008.00,'009602','2008','009602':'2008'
33.826_-84.35700000000001,131210094032000.00,'009403','2000','009403':'2000'
33.656_-84.35799999999999,131210072001028.00,'007200','1028','007200':'1028'
33.693000000000005_-84.35799999999999,131210071001008.00,'007100','1008','007100':'1008'
33.762_-84.35799999999999,131210030001000.00,'003000','1000','003000':'1000'
33.853_-84.35799999999999,131210096022001.00,'009602','2001','009602':'2001'
33.7_-84.35799999999999,131210071002019.00,'007100','2019','007100':'2019'
33.843_-84.35799999999999,131210094042012.00,'009404','2012','009404':'2012'
33.842_-84.35799999999999,131210094042012.00,'009404','2012','009404':'2012'
33.787_-84.35799999999999,131210002004000.00,'000200','4000','000200':'4000'
33.763000000000005_-84.35799999999999,131210016001020.00,'001600','1020','001600':'1020'
33.760999999999996_-84.35799999999999,131210030002005.00,'003000','2005','003000':'2005'
33.658_-84.35799999999999,131210072001031.00,'007200','1031','007200':'1031'
33.709_-84.35799999999999,131210069002014.00,'006900','2014','006900':'2014'
33.773_-84.35799999999999,131210015001004.00,'001500','1004','001500':'1004'
33.705999999999996_-84.35799999999999,131210068021004.00,'006802','1004','006802':'1004'
33.749_-84.359,131210032001029.00,'003200','1029','003200':'1029'
33.708_-84.359,131210068021000.00,'006802','1000','006802':'1000'
33.846_-84.359,131210096023002.00,'009602','3002','009602':'3002'
33.739000000000004_-84.359,131210050001042.00,'005000','1042','005000':'1042'
33.81_-84.359,131210001003007.00,'000100','3007','000100':'3007'
33.705999999999996_-84.359,131210068021004.00,'006802','1004','006802':'1004'
33.847_-84.359,131210096023001.00,'009602','3001','009602':'3001'
33.851_-84.359,131210096022002.00,'009602','2002','009602':'2002'
33.74_-84.359,131210050001030.00,'005000','1030','005000':'1030'
33.76_-84.359,131210030001005.00,'003000','1005','003000':'1005'
33.707_-84.359,131210068021001.00,'006802','1001','006802':'1001'
33.760999999999996_-84.359,131210030001000.00,'003000','1000','003000':'1000'
33.742_-84.36,131210050001030.00,'005000','1030','005000':'1030'
33.708_-84.36,131210068021000.00,'006802','1000','006802':'1000'
33.801_-84.36,131210001003012.00,'000100','3012','000100':'3012'
33.852_-84.36,131210096022002.00,'009602','2002','009602':'2002'
33.760999999999996_-84.36,131210030001001.00,'003000','1001','003000':'1001'
33.848_-84.36,131210096023001.00,'009602','3001','009602':'3001'
33.74_-84.36,131210050001042.00,'005000','1042','005000':'1042'
33.757_-84.36,131210030001007.00,'003000','1007','003000':'1007'
33.795_-84.36,131210002002009.00,'000200','2009','000200':'2009'
33.849000000000004_-84.36,131210096023001.00,'009602','3001','009602':'3001'
33.711_-84.36,131210069002013.00,'006900','2013','006900':'2013'
33.809_-84.36,131210001003008.00,'000100','3008','000100':'3008'
33.696_-84.36,131210071001008.00,'007100','1008','007100':'1008'
33.799_-84.36,131210001003027.00,'000100','3027','000100':'3027'
33.852_-84.361,131210100023025.00,'010002','3025','010002':'3025'
33.825_-84.361,131210094022007.00,'009402','2007','009402':'2007'
33.707_-84.361,131210068021000.00,'006802','1000','006802':'1000'
33.826_-84.361,131210094033016.00,'009403','3016','009403':'3016'
33.71_-84.361,131210068011000.00,'006801','1000','006801':'1000'
33.854_-84.361,131210100023025.00,'010002','3025','010002':'3025'
33.849000000000004_-84.361,131210096023002.00,'009602','3002','009602':'3002'
33.696_-84.361,131210071001007.00,'007100','1007','007100':'1007'
33.689_-84.361,131210070022008.00,'007002','2008','007002':'2008'
33.787_-84.361,131210002004001.00,'000200','4001','000200':'4001'
33.69_-84.361,131210070022000.00,'007002','2000','007002':'2000'
33.809_-84.361,131210001003009.00,'000100','3009','000100':'3009'
33.774_-84.361,131210014001008.00,'001400','1008','001400':'1008'
33.716_-84.361,131210069002001.00,'006900','2001','006900':'2001'
33.773_-84.361,131210014001012.00,'001400','1012','001400':'1012'
33.671_-84.361,131210072001004.00,'007200','1004','007200':'1004'
33.732_-84.361,131210053001014.00,'005300','1014','005300':'1014'
33.734_-84.361,131210053001000.00,'005300','1000','005300':'1000'
33.813_-84.36200000000001,131210092003027.00,'009200','3027','009200':'3027'
33.771_-84.36200000000001,131210016001007.00,'001600','1007','001600':'1007'
33.846_-84.36200000000001,131210096023002.00,'009602','3002','009602':'3002'
33.76_-84.36200000000001,131210030001002.00,'003000','1002','003000':'1002'
33.825_-84.36200000000001,131210094022007.00,'009402','2007','009402':'2007'
33.774_-84.36200000000001,131210014001008.00,'001400','1008','001400':'1008'
33.851_-84.36200000000001,131210100023025.00,'010002','3025','010002':'3025'
33.756_-84.36200000000001,131210030001016.00,'003000','1016','003000':'1016'
